Payout Date,,,Issued By,Consignor,Payout Type,Total Payout,,,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,,,Category,,
Y2k affliction Zip up,Jackets,07-26-2025,17532,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maui surf long sleeve,Long Sleeves,07-26-2025,17538,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y2k Thrashed thermal shirt attachment,Long Sleeves,07-26-2025,17544,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown Y2k shirt,Tees,07-26-2025,17555,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2k element zip hood,Hoodies,07-26-2025,17556,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2k 1/4 button up,Button Ups,07-26-2025,17557,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affliction button up,Button Ups,07-26-2025,17557,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000s Fem guess shirt,Tees,07-26-2025,17558,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fem Y2k O’neal zip hood,Hoodies,07-26-2025,17570,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby T mexico jersey,Sportswear,07-26-2025,17571,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000s american eagle pants,Jeans ,07-27-2025,17573,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jorts,Shorts/Jorts,07-27-2025,17577,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y2k groom shirt,Tees,07-27-2025,17582,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2k salvation shirt,Tees,07-27-2025,17582,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2k rebel spirit wing shirt,Tees,07-27-2025,17586,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2k american eagle long sleeve,Long Sleeves,07-27-2025,17587,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rocawear long sleeve hoodie shirt,Hoodies,07-27-2025,17590,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south pole shirt,Tees,07-27-2025,17602,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2k button up,Button Ups,07-27-2025,17615,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000s New with tags billabong dress,Dresses,07-28-2025,17633,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fem center harley long sleeve,Long Sleeves,07-28-2025,17635,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000s fem zip up,Jackets,07-28-2025,17644,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y2k button up,Button Ups,07-28-2025,17655,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss me velour pants,Jeans ,07-28-2025,17658,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000s Baby Phat tank,Tank tops ,07-29-2025,17664,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
white t shirt,Tees,07-29-2025,17671,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fem Y2k billabong zip hoodie,Hoodies,07-29-2025,17703,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cargo pants,Jeans ,07-30-2025,17713,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000s juicy zip,Hoodies,07-30-2025,17716,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fem flower hoodie,Hoodies,07-30-2025,17721,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y2k peter griffin shirt,Tees,07-30-2025,17730,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y2k rugby jersey,Sportswear,07-30-2025,17731,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,"$1,800.00",120,$15.00,,"$1,090.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-31-2025,,,Annie Zhou,Pio Arango - 006,Print List,$92.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,,Sold,Sale,Agreed,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$25 Item,Ceramics,07-07-2025,16632,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$15 item,Ceramics,07-08-2025,16674,$15.00,75.00%,$15.00,,$11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$15 item,Ceramics,07-10-2025,16736,$15.00,75.00%,$15.00,,$11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$20 item,Ceramics,07-11-2025,16783,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Handmake ceramics brown bowl,Ceramics,07-12-2025,16852,$10.00,75.00%,$10.00,,$7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$20 item,Ceramics,07-12-2025,16856,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$15 item,Ceramics,07-16-2025,16999,$15.00,75.00%,$15.00,,$11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$20 item,Ceramics,07-20-2025,17244,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$25 Item,Ceramics,07-20-2025,17244,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$25 Item,Ceramics,07-30-2025,17733,$25.00,75.00%,$25.00,,$18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,$190.00,10,$19.00,,$92.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-31-2025,,,Annie Zhou,Sabrina Chan - 03I,Print List,$558.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,,Sold,Sale,Agreed,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,
striped tank w ruffle neckline,Tank tops ,07-01-2025,16409,$24.00,75.00%,$24.00,,$18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newsprint tank,Tank tops ,07-01-2025,16412,$24.00,75.00%,$24.00,,$18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bisou bisou fitted denim button up,Button Ups,07-01-2025,16424,$38.00,75.00%,$38.00,,$28.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cropped denim shirt,Long Sleeves,07-01-2025,16424,$34.00,75.00%,$34.00,,$25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slouchy shoulder purse with studs,Bags,07-02-2025,16435,$32.00,75.00%,$32.00,,$24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00s halter top,Blouses,07-03-2025,16484,$24.00,75.00%,$24.00,,$18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calvin klein button up tank,Tank tops ,07-04-2025,16502,$28.00,75.00%,$28.00,,$21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100% cotton striped tshirt,Tees,07-04-2025,16502,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fitted utility button up,Button Ups,07-06-2025,16613,$28.00,75.00%,$28.00,,$21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VS corset top,Lingerie,07-11-2025,16804,$28.00,75.00%,$28.00,,$21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheer tank top,Tank tops ,07-15-2025,16981,$20.00,75.00%,$20.00,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flowy sundress - made from recycled scarves,Dresses,07-15-2025,16984,$32.00,75.00%,$32.00,,$24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly floral top,Blouses,07-15-2025,16987,$28.00,75.00%,$28.00,,$21.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layered sheer tank top,Tank tops ,07-15-2025,16987,$26.00,75.00%,$26.00,,$19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinstripe silky tank top,Tank tops ,07-15-2025,16995,$26.00,75.00%,$26.00,,$19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEALS $15,Tank tops ,07-16-2025,17027,$15.00,75.00%,$15.00,,$11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handmade keychain - every piece is one-of-one!,Keychains,07-18-2025,17102,$16.00,75.00%,$16.00,,$12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000s leather shoulder bag,Bags,07-19-2025,17136,$34.00,75.00%,$34.00,,$25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000s leather shoulder bag with fun stitching,Bags,07-19-2025,17170,$36.00,75.00%,$36.00,,$27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheer retro bubble top,Blouses,07-19-2025,17183,$26.00,75.00%,$26.00,,$19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEALS $10,Tank tops ,07-19-2025,17204,$10.00,75.00%,$10.00,,$7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesh netting crop top,Tees,07-19-2025,17206,$26.00,75.00%,$26.00,,$19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruffle tank top with metal embellishments,Tank tops ,07-20-2025,17255,$30.00,75.00%,$30.00,,$22.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mesh tank top with lace neckline,Tank tops ,07-22-2025,17342,$26.00,75.00%,$26.00,,$19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y2k striped button up,Button Ups,07-25-2025,17473,$30.00,75.00%,$30.00,,$22.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cropped button up,Button Ups,07-26-2025,17514,$26.00,75.00%,$26.00,,$19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sheer blouse with lace collar,Blouses,07-26-2025,17552,$26.00,75.00%,$26.00,,$19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lovestruck pearl collar,Necklaces,07-31-2025,17761,$32.00,75.00%,$32.00,,$24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,$745.00,28,$26.61,,$558.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-31-2025,,,Annie Zhou,Vivian Homie SF - 02Q,Print List,$302.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,,Sold,Sale,Agreed,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snoopy Camping Sticker Sheet,Stickers,07-01-2025,16405,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Labubu Sticker,Stickers,07-01-2025,16422,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff Smiski Sticker,Stickers,07-03-2025,16462,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smiski At Work Sticker Sheet,Stickers,07-03-2025,16466,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Bare Bear -  Golden Gate Print,Prints,07-03-2025,16477,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff Smiski Sticker,Stickers,07-03-2025,16482,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Smiski Mini Charm,Phone Charms,07-03-2025,16487,$10.00,75.00%,$10.00,,$7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuromi Baby Sticker,Stickers,07-03-2025,16493,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Bare Bear - Cable Car Print,Prints,07-05-2025,16563,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Labubu Sticker,Stickers,07-05-2025,16569,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Bare Bear - Sutro Tower Print,Prints,07-05-2025,16572,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squirtle Omamori Flight Tag,Keychains,07-05-2025,16586,$8.00,75.00%,$8.00,,$6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall in Wild Labubu Mini Charm,Phone Charms,07-05-2025,16591,$10.00,75.00%,$10.00,,$7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put Em’ Up Snoopy Sticker,Stickers,07-06-2025,16598,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S’mores Snoopy Sticker,Stickers,07-06-2025,16598,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuromi Baby Sticker,Stickers,07-06-2025,16621,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny Jollibee Sticker,Stickers,07-06-2025,16621,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hues of Labubu Sticker Sheet,Stickers,07-06-2025,16625,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put Em’ Up Snoopy Sticker,Stickers,07-07-2025,16657,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hula Smiski Mini Charm,Phone Charms,07-09-2025,16706,$10.00,75.00%,$10.00,,$7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hues of Labubu Sticker Sheet,Stickers,07-09-2025,16718,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny Jollibee Sticker,Stickers,07-10-2025,16732,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny Bunny Woven Keychain,Keychains,07-11-2025,16797,$8.00,75.00%,$8.00,,$6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duoduo Labubu Sticker,Stickers,07-12-2025,16835,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Cat Smiski Mini Charm,Phone Charms,07-12-2025,16838,$10.00,75.00%,$10.00,,$7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put Em’ Up Snoopy Sticker,Stickers,07-12-2025,16857,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Cat Smiski Flight Tag,Keychains,07-13-2025,16901,$8.00,75.00%,$8.00,,$6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snoopy Camping Sticker Sheet,Stickers,07-13-2025,16916,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuromi Baby Sticker,Stickers,07-13-2025,16919,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Bare Bear - Cable Car Print,Prints,07-15-2025,16977,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hues of Labubu Sticker Sheet,Stickers,07-15-2025,16992,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Bare Bear - Cable Car Print,Prints,07-16-2025,17029,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky Cat Smiski Flight Tag,Keychains,07-18-2025,17096,$8.00,75.00%,$8.00,,$6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put Em’ Up Snoopy Sticker,Stickers,07-18-2025,17121,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff Smiski Sticker,Stickers,07-19-2025,17202,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snoopy Camping Sticker Sheet,Stickers,07-19-2025,17212,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smiski At Work Sticker Sheet,Stickers,07-20-2025,17226,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hues of Labubu Sticker Sheet,Stickers,07-20-2025,17226,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Bare Bears Picnic Sticker Sheet,Stickers,07-20-2025,17229,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snoopy Camping Sticker Sheet,Stickers,07-20-2025,17229,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff Smiski Sticker,Stickers,07-20-2025,17241,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Smiski Mini Charm,Phone Charms,07-20-2025,17250,$10.00,75.00%,$10.00,,$7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snoopy Camping Sticker Sheet,Stickers,07-20-2025,17260,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny Bunny Woven Keychain,Keychains,07-20-2025,17274,$8.00,75.00%,$8.00,,$6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Bare Bears - Painted Ladies Print,Prints,07-20-2025,17285,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
“I’m Baby” Smiski Mini Charm,Phone Charms,07-21-2025,17326,$10.00,75.00%,$10.00,,$7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bart Smiski Sticker Sheet,Stickers,07-22-2025,17339,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
“I’m Baby” Smiski Flight Tag,Keychains,07-22-2025,17348,$8.00,75.00%,$8.00,,$6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bart Smiski Sticker Sheet,Stickers,07-23-2025,17382,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny Jollibee Sticker,Stickers,07-24-2025,17412,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff Smiski Sticker,Stickers,07-24-2025,17423,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
“I’m Baby” Smiski Mini Charm,Phone Charms,07-25-2025,17446,$10.00,75.00%,$10.00,,$7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duoduo Labubu Sticker,Stickers,07-25-2025,17447,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Into Energy Sticker Sheet,Stickers,07-25-2025,17453,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mofusand Omamori Sticker,Stickers,07-25-2025,17457,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bart Smiski Sticker Sheet,Stickers,07-25-2025,17457,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Jollibee Woven Keychain,Keychains,07-25-2025,17460,$8.00,75.00%,$8.00,,$6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff Smiski Sticker,Stickers,07-25-2025,17482,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
“I’m Baby” Smiski Mini Charm,Phone Charms,07-26-2025,17523,$10.00,75.00%,$10.00,,$7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboy Snoopy Sticker Sheet,Stickers,07-26-2025,17546,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Zimomo Sticker,Stickers,07-26-2025,17551,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff Smiski Sticker,Stickers,07-26-2025,17559,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bart Smiski Sticker Sheet,Stickers,07-27-2025,17596,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S’mores Snoopy Sticker,Stickers,07-27-2025,17617,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S’mores Snoopy Sticker,Stickers,07-28-2025,17648,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Jollibee Woven Keychain,Keychains,07-28-2025,17653,$8.00,75.00%,$8.00,,$6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duoduo Labubu Sticker,Stickers,07-29-2025,17665,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hues of Labubu Sticker Sheet,Stickers,07-29-2025,17671,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Into Energy Sticker Sheet,Stickers,07-29-2025,17671,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebi Labubu Sticker,Stickers,07-30-2025,17706,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cowboy Snoopy Sticker Sheet,Stickers,07-31-2025,17745,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Bare Bear -  Golden Gate Print,Prints,07-31-2025,17745,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonny Jollibee Sticker,Stickers,07-31-2025,17746,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buff Snorlax Flight Tag,Keychains,07-31-2025,17746,$8.00,75.00%,$8.00,,$6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Bare Bear - Cable Car Print,Prints,07-31-2025,17753,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Bare Bears Picnic Sticker Sheet,Stickers,07-31-2025,17753,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bart Smiski Sticker Sheet,Stickers,07-31-2025,17762,$7.00,75.00%,$7.00,,$5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebi Labubu Sticker,Stickers,07-31-2025,17772,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Paid:,,$503.00,78,$6.45,,$302.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-31-2025,,,Annie Zhou,Vora Cattpucino - 049,Print List,$72.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,,Sold,Sale,Agreed,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lily of the valley,Stickers,07-15-2025,16996,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teacup,Stickers,07-15-2025,16996,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furuhonya sticker,Stickers,07-16-2025,17008,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat witch,Stickers,07-16-2025,17014,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flower queen,Stickers,07-18-2025,17103,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egg pin,Keychains,07-18-2025,17111,$15.00,75.00%,$15.00,,$11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soulmate,Stickers,07-19-2025,17142,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiikawa sticker,Stickers,07-19-2025,17158,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momonga sticker,Stickers,07-19-2025,17158,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponyo pin,Keychains,07-20-2025,17253,$15.00,75.00%,$15.00,,$11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howl keychain,Keychains,07-20-2025,17271,$15.00,75.00%,$15.00,,$11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usagi sticker,Stickers,07-21-2025,17334,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranchu claw,Hair Accessories,07-26-2025,17568,$22.00,75.00%,$22.00,,$16.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramen cat,Stickers,07-27-2025,17591,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catterpillar,Stickers,07-27-2025,17591,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Momonga sticker,Stickers,07-27-2025,17612,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Usagi sticker,Stickers,07-28-2025,17628,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otter pin,Keychains,07-28-2025,17648,$15.00,75.00%,$15.00,,$11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat gamer,Stickers,07-30-2025,17726,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cow pin,Keychains,07-31-2025,17735,$15.00,75.00%,$15.00,,$11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lily of the valley,Stickers,07-31-2025,17756,$5.00,75.00%,$5.00,,$3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
